id,japones,hiragana,romaji,traduccion
1,行く,いく,iku,ir
2,見る,みる,miru,mirar
3,多い,おおい,ooi,muchos
4,家,いえ / うち,ie,casa
5,これ,これ,kore,Esto
6,それ,それ,sore,Eso
7,私,わたし,watashi,I
8,仕事,しごと,shigoto,trabajar
9,いつ,いつ,itsu,¿Cuándo?
10,する,する,suru,hacer
11,出る,でる,deru,salir
12,使う,つかう,tsukau,usar
13,所,ところ,tokoro,Dónde
14,作る,つくる,tsukuru,hacer
15,思う,おもう,omou,pensar
16,持つ,もつ,motsu,Tener
17,買う,かう,kau,comprar
18,時間,じかん,jikan,tiempo
19,知る,しる,shiru,saber
20,同じ,おなじ,onaji,mismo
21,今,いま,ima,ahora
22,新しい,あたらしい,atarashii,nuevo
23,なる,なる,naru,Se va a convertir
24,まだ,まだ,mada,Todavía / Aún
25,あと,あと,ato,Después
26,聞く,きく,kiku,escuchar
27,言う,いう,iu,decir
28,少ない,すくない,sukunai,pocos
29,高い,たかい,takai,caro
30,子供,こども,kodomo,niño
31,そう,そう,sou,Sí
32,もう,もう,mou,Ya / Más
33,学生,がくせい,gakusei,Estudiantes
34,熱い,あつい,atsui,caliente
35,どうぞ,どうぞ,douzo,Por favor
36,午後,ごご,gogo,tarde
37,長い,ながい,nagai,largo
38,本,ほん,hon,Libros
39,今年,ことし,kotoshi,este año
40,よく,よく,yoku,Bien / A menudo
41,彼女,かのじょ,kanojo,ella
42,どう,どう,dou,¿Cómo?
43,言葉,ことば,kotoba,palabras
44,顔,かお,kao,rostro
45,終わる,おわる,owaru,Se acabó
46,一つ,ひとつ,hitotsu,uno
47,あげる,あげる,ageru,dar
48,こう,こう,kou,como esto
49,学校,がっこう,gakkou,escuela
50,くれる,くれる,kureru,dar
51,始める,はじめる,hajimeru,comenzar
52,起きる,おきる,okiru,levantarse
53,春,はる,haru,primavera
54,午前,ごぜん,gozen,mañana
55,別,べつ,betsu,otro
56,どこ,どこ,doko,¿Dónde?
57,部屋,へや,heya,habitación
58,若い,わかい,wakai,joven
59,車,くるま,kuruma,auto
60,置く,おく,oku,poner
61,住む,すむ,sumu,vivir
62,働く,はたらく,hataraku,trabajar
63,難しい,むずかしい,muzukashii,difícil
64,先生,せんせい,sensei,maestro
65,立つ,たつ,tatsu,pararse
66,呼ぶ,よぶ,yobu,Llamar
67,大学,だいがく,daigaku,universidad
68,安い,やすい,yasui,barato
69,もっと,もっと,motto,Más
70,帰る,かえる,kaeru,Ir a casa
71,分かる,わかる,wakaru,Entiendo
